year,month,day,flow,ss,ht,rain
1981,4,19,0.378,NaN,NaN,NaN
1981,4,20,0.359,NaN,NaN,NaN
1981,4,21,0.351,NaN,NaN,NaN
1981,4,22,0.339,NaN,NaN,NaN
1981,4,23,0.324,NaN,NaN,NaN
1981,4,24,0.321,NaN,NaN,NaN
1981,4,25,0.312,NaN,NaN,NaN
1981,4,26,0.304,NaN,NaN,NaN
1981,4,27,0.298,NaN,NaN,NaN
1981,4,28,0.461,NaN,NaN,NaN
1981,4,29,0.417,NaN,NaN,NaN
1981,4,30,0.291,NaN,NaN,NaN
1981,5,1,0.286,NaN,NaN,NaN
1981,5,2,0.283,NaN,NaN,NaN
1981,5,3,0.282,NaN,NaN,NaN
1981,5,4,0.286,NaN,NaN,NaN
1981,5,5,0.465,NaN,NaN,NaN
1981,5,6,0.458,NaN,NaN,NaN
1981,5,7,0.687,NaN,NaN,NaN
1981,5,8,1.349,NaN,NaN,NaN
1981,5,9,0.434,NaN,NaN,NaN
1981,5,10,0.354,NaN,NaN,NaN
1981,5,11,0.333,NaN,NaN,NaN
1981,5,12,0.347,NaN,NaN,NaN
1981,5,13,0.422,NaN,NaN,NaN
1981,5,14,0.344,NaN,NaN,NaN
1981,5,15,0.446,NaN,NaN,NaN
1981,5,16,0.366,NaN,NaN,NaN
1981,5,17,0.34,NaN,NaN,NaN
1981,5,18,0.329,NaN,NaN,NaN
1981,5,19,0.328,NaN,NaN,NaN
1981,5,20,0.661,NaN,NaN,NaN
1981,5,21,0.545,NaN,NaN,NaN
1981,5,22,0.38,NaN,NaN,NaN
1981,5,23,0.341,NaN,NaN,NaN
1981,5,24,0.334,NaN,NaN,NaN
1981,5,25,0.957,NaN,NaN,NaN
1981,5,26,0.884,NaN,NaN,NaN
1981,5,27,0.757,NaN,NaN,NaN
1981,5,28,0.544,NaN,NaN,NaN
1981,5,29,0.405,NaN,NaN,NaN
1981,5,30,0.368,NaN,NaN,NaN
1981,5,31,0.353,NaN,NaN,NaN
1981,6,1,0.349,NaN,NaN,NaN
1981,6,2,0.433,NaN,NaN,NaN
1981,6,3,0.522,NaN,NaN,NaN
1981,6,4,0.407,NaN,NaN,NaN
1981,6,5,0.358,NaN,NaN,NaN
1981,6,6,3.162,NaN,NaN,NaN
1981,6,7,0.579,NaN,NaN,NaN
1981,6,8,0.363,NaN,NaN,NaN
1981,6,9,0.559,NaN,NaN,NaN
1981,6,10,5.983,NaN,NaN,NaN
1981,6,11,0.995,NaN,NaN,NaN
1981,6,12,1.592,NaN,NaN,NaN
